state,date,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,StateClosureStartDate,ClosureDateCat,Location,Governor.Political.Affiliation,State.Senate.Majority.Political.Affiliation,State.House.Majority.Political.Affiliation,State.Attorney.General.Political.Affiliation,State.Insurance.Commissioner.Political.Affiliation,closed,Region,POPESTIMATE2019,date_diff,percent_positive,positive_percent_change,percent_positive_percent_change,total_tests_percent_cange,hospitalized_percent_change,death_percent_change
AK,2020-05-02,365,21034,NA,10,NA,NA,NA,NA,NA,261,8915b2653b57fc004eaa5369881343ee1f984aa8,2020-05-02T20:00:00Z,9,NA,21399,21399,21399,02,0,0,1073,1,1074,2020-03-16,Early,Alaska,Republican,Republican,Republican,Appointed,Appointed,TRUE,West,731545,47,0.01705687181644002,0.0027472527472527475,-0.04757988076923078,0.052841328413284136,NA,0
AL,2020-05-02,7434,84775,NA,NA,1023,NA,335,NA,195,NA,884ad5ab757f3861f3c36c9eef2e2c0b64d855f1,2020-05-02T20:00:00Z,288,1023,92209,92209,92209,01,9,15,0,276,276,2020-03-19,Late,Alabama,Republican,Republican,Republican,Republican,Appointed,TRUE,South,4903185,44,0.08062119749699054,0.038558256496227995,0.035449637301061786,0.0030021863748599525,0.01488095238095238,0.03225806451612903
AR,2020-05-02,3372,48210,NA,95,414,NA,NA,20,85,1987,1899b014ba10b1308db7840e2478b1d9921c10af,2020-05-02T20:00:00Z,73,414,51582,51582,51582,05,9,0,1855,51,1906,2020-03-17,Middle,Arkansas,Republican,Republican,Republican,Republican,Appointed,TRUE,South,3017804,46,0.06537164127021054,0.015356820234869015,-0.022161506077687514,0.038368628714067154,0,0.140625
AZ,2020-05-02,8364,69633,NA,718,1339,291,NA,198,NA,1565,0eed79b0025a0cc44b30dfb01e4b3bb5a1148a5c,2020-05-02T20:00:00Z,348,1339,77997,77997,77997,04,18,136,2716,402,3118,2020-03-16,Early,Arizona,Republican,Republican,Republican,Republican,Appointed,TRUE,West,7278717,47,0.10723489364975576,0.050489826676714394,0.00849555737578492,0.04164051336155664,0.11305070656691604,0.05454545454545454
CA,2020-05-02,52197,634606,NA,4722,NA,1433,NA,NA,NA,NA,cdcd836d3f2948fcbdde32fb8efbae6bbeb2a69e,2020-05-02T20:00:00Z,2171,NA,686803,686803,686803,06,98,0,30063,1755,31818,2020-03-19,Late,California,Democrat,Democrat,Democrat,Democrat,Democrat,TRUE,West,39512223,44,0.07599995923139533,0.03479243487569882,-0.013147116577157798,0.04857821171477209,NA,0.0472744814278823
CO,2020-05-02,15768,61181,NA,931,2747,NA,NA,NA,NA,2553,065f53cbf418983ed19268484dea3198f7b125bf,2020-05-02T20:00:00Z,820,2747,76949,76949,76949,08,43,50,4075,484,4559,2020-03-23,Late,Colorado,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,West,5758736,40,0.20491494366398524,0.03166710285265637,-0.029456111216958923,0.06297831192153612,0.01853911753800519,0.055341055341055344
CT,2020-05-02,28764,71493,NA,1592,7758,NA,NA,NA,NA,4346,f4f059cb7a023a48adc3b690a907ef83b83f7d1f,2020-05-02T20:00:00Z,2339,7758,100257,100257,100257,09,0,0,0,0,0,2020-03-17,Middle,Connecticut,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,Northeast,3565287,46,0.2869026601633801,0,-5.694619305901281e-10,0,0,0
DE,2020-05-02,5038,18074,NA,300,NA,NA,NA,NA,NA,1546,2ab2471592f3fbca26321a81492a2b938b532d1c,2020-05-02T20:00:00Z,168,NA,23112,23112,23112,10,9,0,407,120,527,2020-03-16,Early,Delaware,Democrat,Democrat,Democrat,Democrat,Democrat,TRUE,South,973764,47,0.21798200069228107,0.024400162667751118,0.0010417837708418041,0.023334071286251937,NA,0.05660377358490566
FL,2020-05-02,35463,380549,NA,NA,5945,NA,NA,NA,NA,NA,c20690bb991d4da1bddb716969ccfa53a453b59f,2020-05-02T20:00:00Z,1388,5945,416012,416012,416012,12,74,150,12578,735,13313,2020-03-16,Early,Florida,Republican,Republican,Republican,Republican,Appointed,TRUE,South,21477737,47,0.08524513715950502,0.02116447823082239,-0.011514298987474046,0.03305943148604789,0.025884383088869714,0.0563165905631659
GA,2020-05-02,28306,146494,NA,NA,5387,NA,1247,NA,NA,NA,517195ec926271fe90f47196d866dfd0a69267ed,2020-05-02T20:00:00Z,1174,5387,174800,174800,174800,13,20,118,5397,1036,6433,2020-03-18,Middle,Georgia,Republican,Republican,Republican,Republican,Appointed,TRUE,South,10617423,45,0.16193363844393593,0.03799046571323799,-2.0972390370374602e-4,0.03820819994416958,0.02239514139305371,0.01733102253032929
HI,2020-05-02,619,31366,NA,NA,72,NA,NA,NA,NA,532,0263c48df92747a76270ec5f04e8830a4deaf6e4,2020-05-02T20:00:00Z,16,72,31985,31985,31985,15,0,2,890,1,891,2020-03-23,Late,Hawaii,Democrat,Democrat,Democrat,Appointed,Appointed,TRUE,West,1415872,40,0.019352821635141473,0.0016181229773462784,-0.026283742284789708,0.028655045989579984,0.02857142857142857,0
IA,2020-05-02,8641,37708,NA,353,NA,131,NA,90,NA,3156,ed17f22a89d1b3cda764d3d2d25cfeabf4b5c191,2020-05-02T20:00:00Z,175,NA,46349,46349,46349,19,5,0,0,757,757,2020-03-16,Early,Iowa,Republican,Republican,Republican,Democrat,Appointed,TRUE,North Central,3155070,47,0.18643336425812854,0.09601725012683916,0.07811642966615928,0.01660379013862081,NA,0.029411764705882353
ID,2020-05-02,2035,27455,NA,NA,178,NA,76,NA,NA,1215,2229b029f548e38537d5a305b6a25429cf761eaa,2020-05-02T20:00:00Z,63,178,29490,29490,29490,16,0,0,245,20,265,2020-03-23,Late,Idaho,Republican,Republican,Republican,Republican,Appointed,TRUE,West,1787065,40,0.06900644286198711,0.009925558312655087,8.502713027295109e-4,0.009067579127459367,0,0
IL,2020-05-02,58505,241391,NA,4717,NA,1250,NA,789,NA,NA,2a3dbca0ccefc372d1e390b6a935f7cce0bd7a84,2020-05-02T20:00:00Z,2559,NA,299896,299896,299896,17,102,0,12758,2450,15208,2020-03-17,Middle,Illinois,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,North Central,12671821,46,0.19508429588924162,0.043707073410043706,-0.009220264746267118,0.05341988422413309,NA,0.04151404151404151
IN,2020-05-02,19295,84846,NA,1456,NA,487,NA,244,NA,NA,1a8cd04e3a50a050e4070f9dc912c6210356485a,2020-05-02T20:00:00Z,1229,NA,104141,104141,104141,18,54,0,3837,665,4502,2020-03-19,Late,Indiana,Republican,Republican,Republican,Republican,Appointed,TRUE,North Central,6732219,44,0.1852776524135547,0.03569511540526033,-0.009077833192270644,0.04518311103082127,NA,0.04595744680851064
KS,2020-05-02,4746,30196,NA,NA,541,NA,206,NA,95,286,d7909e12df5722cd6b00d7c32994875786162173,2020-05-02T20:00:00Z,131,541,34942,34942,34942,20,1,7,1611,297,1908,2020-03-18,Middle,Kansas,Democrat,Republican,Republican,Republican,Republican,TRUE,North Central,2913314,45,0.13582508156373418,0.0667565745111261,0.008506576486401487,0.057758672882484714,0.013108614232209739,0.007692307692307693
KY,2020-05-02,4879,52770,NA,334,1411,178,652,NA,NA,1752,eab0626d70e347267d66b6b0a312b9cd55809188,2020-05-02T20:00:00Z,248,1411,57649,57649,57649,21,8,36,866,171,1037,2020-03-16,Early,Kentucky,Democrat,Republican,Republican,Republican,Appointed,TRUE,South,4467673,47,0.0846328644035456,0.036321155480033986,0.017679629729821608,0.018317671165124002,0.02618181818181818,0.03333333333333333
LA,2020-05-02,29140,143718,NA,1545,NA,NA,NA,208,NA,17303,6ccf32bd8398973e6411080fed6477626ccfcb58,2020-05-02T20:00:00Z,1950,NA,172858,172858,172858,22,23,0,4178,429,4607,2020-03-16,Early,Louisiana,Democrat,Republican,Republican,Republican,Republican,TRUE,South,4648794,47,0.16857767647433153,0.014942008289505765,-0.012108161865626415,0.027381709469780267,NA,0.011935651271406332
MA,2020-05-02,66263,232731,NA,3601,6378,921,NA,NA,NA,NA,c404a96f8e0a32a0e3bb3f337cea02dffc854ee0,2020-05-02T20:00:00Z,3846,6378,298994,298994,298994,25,130,209,7406,1952,9358,2020-03-17,Middle,Massachusetts,Republican,Democrat,Democrat,Democrat,Appointed,TRUE,Northeast,6892503,46,0.22161983183609035,0.030352505792166192,-0.0018957618268726243,0.03230951953486445,0.033879072783271194,0.03498385360602799
MD,2020-05-02,24473,101049,NA,1657,4910,566,NA,NA,NA,1590,dcbc10201aa9817d42abc75396311ef10c0f8f4e,2020-05-02T20:00:00Z,1251,4910,125522,125522,125522,24,59,192,3538,1001,4539,2020-03-16,Early,Maryland,Republican,Democrat,Democrat,Democrat,Appointed,TRUE,South,6045680,47,0.19496980608976913,0.04264655760054533,0.004943423623807001,0.03751766777150509,0.040695209834675714,0.04949664429530201
ME,2020-05-02,1152,19546,NA,36,181,19,NA,10,NA,689,7e3619c899147db3022fcbc9a8ab4da16beb73e8,2020-05-02T20:00:00Z,56,181,20698,20698,20698,23,1,4,0,29,29,2020-04-02,Late,Maine,Democrat,Democrat,Democrat,Appointed,Appointed,TRUE,Northeast,1344212,30,0.055657551454246786,0.025823686553873553,0.024386395030276023,0.001403067395616624,0.022598870056497175,0.01818181818181818
MI,2020-05-02,43207,158502,NA,2100,NA,850,NA,713,NA,15659,f18289a1ca4628e3c92d83e9f8c8eb2421761fc2,2020-05-02T20:00:00Z,4020,NA,201709,201709,201709,26,154,0,10353,851,11204,2020-03-16,Early,Michigan,Democrat,Republican,Republican,Democrat,Appointed,TRUE,North Central,9986857,47,0.21420462150920386,0.0200916044952309,-0.036569753656860826,0.05881210466916879,NA,0.03983445421624418
MN,2020-05-02,6228,72779,NA,389,1159,135,404,NA,NA,2397,cd932ccccc02cefc20a08803e74a0cc421005bc3,2020-05-02T20:00:00Z,395,1159,79007,79007,79007,27,24,63,3680,498,4178,2020-03-18,Middle,Minnesota,Democrat,Republican,Democrat,Democrat,Appointed,TRUE,North Central,5639632,45,0.07882845823787765,0.08691099476439791,0.029433627169633478,0.05583396811396651,0.05748175182481752,0.0646900269541779
MO,2020-05-02,8154,74590,NA,896,NA,NA,NA,141,NA,NA,5d91d52d238e224e1701f12b059257512e8aa32b,2020-05-02T20:00:00Z,351,NA,82744,82744,82744,29,14,0,0,319,319,2020-03-19,Late,Missouri,Republican,Republican,Republican,Appointed,Appointed,TRUE,North Central,6137428,44,0.09854490960069612,0.04071474154435226,0.03670251522016593,0.003870185016681832,NA,0.04154302670623145
